MSSV,FullName,ClassCode,DateOfBirth,Hometown,Gender,AdmissionMethod,AdmissionScore,Email,PhoneNumber,Address,Major,Department,AcademicStatus,EnrollmentYear,GPA,AccumulatedCredits,Advisor
20251069,Ho Anh Cuong,CNPM01-K68,19/11/2006,Ha Noi,Nam,Hoc ba,24.9,20251069@sis.hust.edu.vn,0936153293,So 128 Pho Chua Boc - Ha Noi,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,1.44,78,Pham Minh D
20251070,Ho Van Binh,CTTT02-K68,24/08/2007,Hai Phong,Nam,Tuyen thang,23.2,20251070@sis.hust.edu.vn,0943919601,So 30 Pho Chua Boc - Hai Phong,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,1.92,5,Nguyen Van A
20251071,Do Ngoc Yen,ATTT03-K68,17/12/2006,Thai Nguyen,Nam,Diem thi THPT,25.1,20251071@sis.hust.edu.vn,0911509705,So 60 Pho Chua Boc - Thai Nguyen,He thong thong tin,Truong CNTT&TT,Dang hoc,2024,1.01,39,Tran Thi B
20251072,Tran Hai Vy,CNPM01-K68,04/10/2006,Nghe An,Nu,Hoc ba,28.9,20251072@sis.hust.edu.vn,0948082535,So 50 Pho Chua Boc - Nghe An,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,3.39,109,Le Van C
20251073,Pham Anh Linh,HTTT01-K68,27/06/2006,Da Nang,Nam,Diem thi THPT,29.1,20251073@sis.hust.edu.vn,0916746577,So 32 Pho Chua Boc - Da Nang,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,1.78,129,Tran Thi B
20251074,Bui Duy Tuan,KHMT01-K67,13/04/2004,Thai Binh,Nu,Diem thi THPT,23.1,20251074@sis.hust.edu.vn,0978890436,So 70 Pho Chua Boc - Thai Binh,Dien tu vien thong,Khoa Vien thong,Bao luu,2022,3.39,44,Tran Thi B
20251075,Hoang Van Phong,KHMT02-K68,17/05/2007,Hue,Nu,Diem thi THPT,24.1,20251075@sis.hust.edu.vn,0968646687,So 54 Pho Chua Boc - Hue,He thong thong tin,Truong CNTT&TT,Bao luu,2025,1.21,13,Le Van C
20251076,Bui Thanh Binh,KHMT02-K68,22/07/2007,Ha Tinh,Nam,Tuyen thang,21.3,20251076@sis.hust.edu.vn,0966291882,So 33 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Dang hoc,2025,1.09,32,Pham Minh D
20251077,Le Xuan Hai,KHMT01-K67,04/09/2004,Quang Ninh,Nam,Diem thi THPT,24,20251077@sis.hust.edu.vn,0918729140,So 112 Pho Chua Boc - Quang Ninh,An toan thong tin,Truong CNTT&TT,Dang hoc,2022,3.03,41,Hoang Duc E
20251078,Do Quoc Hai,KHMT02-K68,14/08/2004,Bac Ninh,Nam,Diem thi THPT,21.8,20251078@sis.hust.edu.vn,0955698876,So 69 Pho Chua Boc - Bac Ninh,Ky thuat may tinh,Khoa Dien tu,Canh cao,2022,2.23,114,Le Van C
20251079,Ngo Huu Son,CNPM01-K68,26/04/2004,Hai Phong,Nu,Hoc ba,25.3,20251079@sis.hust.edu.vn,0924052759,So 57 Pho Chua Boc - Hai Phong,He thong thong tin,Truong CNTT&TT,Canh cao,2022,1.86,39,Nguyen Van A
20251080,Tran Duy Hanh,CTTT02-K68,12/02/2005,Ha Noi,Nam,Diem thi THPT,21.2,20251080@sis.hust.edu.vn,0922358803,So 81 Pho Chua Boc - Ha Noi,He thong thong tin,Truong CNTT&TT,Dang hoc,2023,1.46,49,Hoang Duc E
20251081,Nguyen Van Anh,KHMT02-K68,11/12/2005,Quang Ninh,Nam,Tuyen thang,22.7,20251081@sis.hust.edu.vn,0962260741,So 28 Pho Chua Boc - Quang Ninh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,1.69,36,Tran Thi B
20251082,Ngo Minh Yen,CTTT02-K68,17/03/2007,Hue,Nu,Danh gia nang luc,26.5,20251082@sis.hust.edu.vn,0996360277,So 125 Pho Chua Boc - Hue,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,2.77,88,Tran Thi B
20251083,Phan Ngoc Dung,KHMT02-K68,07/04/2006,Hue,Nam,Hoc ba,20.6,20251083@sis.hust.edu.vn,0929331298,So 85 Pho Chua Boc - Hue,He thong thong tin,Truong CNTT&TT,Dang hoc,2024,3.35,146,Hoang Duc E
20251084,Pham Ngoc Phong,CTTT02-K68,21/08/2004,Thanh Hoa,Nam,Tuyen thang,26.7,20251084@sis.hust.edu.vn,0960228793,So 21 Pho Chua Boc - Thanh Hoa,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,1.71,38,Nguyen Van A
20251085,Duong Quang Khoa,ATTT03-K68,25/07/2007,Thai Nguyen,Nu,Danh gia nang luc,26.6,20251085@sis.hust.edu.vn,0984299128,So 66 Pho Chua Boc - Thai Nguyen,Ky thuat may tinh,Khoa Dien tu,Canh cao,2025,3.37,14,Nguyen Van A
20251086,Vu Thi Hung,CNPM01-K68,09/03/2004,Can Tho,Nu,Tuyen thang,21.5,20251086@sis.hust.edu.vn,0954161453,So 33 Pho Chua Boc - Can Tho,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2022,2.69,8,Le Van C
20251087,Ngo Ngoc Hanh,KHMT01-K67,26/06/2005,Ha Noi,Nam,Danh gia nang luc,28.2,20251087@sis.hust.edu.vn,0969308092,So 137 Pho Chua Boc - Ha Noi,Dien tu vien thong,Khoa Vien thong,Bao luu,2023,1.52,106,Le Van C
20251088,Duong Thanh Phong,CNPM01-K68,02/06/2005,Ha Tinh,Nam,Tuyen thang,20.1,20251088@sis.hust.edu.vn,0960642160,So 81 Pho Chua Boc - Ha Tinh,Dien tu vien thong,Khoa Vien thong,Canh cao,2023,3.31,67,Pham Minh D
20251089,Tran Duy Anh,CNPM01-K68,05/08/2007,Nam Dinh,Nu,Diem thi THPT,25.6,20251089@sis.hust.edu.vn,0932157821,So 127 Pho Chua Boc - Nam Dinh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,1.11,22,Nguyen Van A
20251090,Phan Ngoc Tuan,KHMT02-K68,04/12/2007,Quang Ninh,Nu,Tuyen thang,22.7,20251090@sis.hust.edu.vn,0928265448,So 67 Pho Chua Boc - Quang Ninh,He thong thong tin,Truong CNTT&TT,Canh cao,2025,1.79,123,Pham Minh D
20251091,Bui Duy Hung,KHMT02-K68,11/03/2006,Thai Binh,Nu,Hoc ba,26.2,20251091@sis.hust.edu.vn,0948132413,So 47 Pho Chua Boc - Thai Binh,He thong thong tin,Truong CNTT&TT,Dang hoc,2024,1.01,15,Le Van C
20251092,Ngo Hai Son,KHMT01-K67,03/09/2006,Thai Binh,Nu,Diem thi THPT,25.9,20251092@sis.hust.edu.vn,0929942682,So 126 Pho Chua Boc - Thai Binh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,2.92,115,Pham Minh D
20251093,Le Duc Quan,CTTT02-K68,19/02/2007,Quang Ninh,Nam,Hoc ba,24,20251093@sis.hust.edu.vn,0956841839,So 99 Pho Chua Boc - Quang Ninh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,3.48,117,Nguyen Van A
20251094,Do Hai Hai,DTVT01-K68,01/04/2007,Quang Ninh,Nam,Danh gia nang luc,23.3,20251094@sis.hust.edu.vn,0919962941,So 94 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,3.82,35,Pham Minh D
20251095,Do Huu Quan,ATTT03-K68,21/07/2007,Thai Nguyen,Nu,Danh gia nang luc,29.4,20251095@sis.hust.edu.vn,0946678102,So 120 Pho Chua Boc - Thai Nguyen,He thong thong tin,Truong CNTT&TT,Dang hoc,2025,3,45,Le Van C
20251096,Phan Thi Cuong,CNPM02-K67,14/10/2004,Quang Ninh,Nu,Tuyen thang,22.3,20251096@sis.hust.edu.vn,0924197729,So 86 Pho Chua Boc - Quang Ninh,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,1.07,108,Tran Thi B
20251097,Vu Anh Quan,ATTT03-K68,11/07/2004,Ha Noi,Nu,Diem thi THPT,26.2,20251097@sis.hust.edu.vn,0942301276,So 93 Pho Chua Boc - Ha Noi,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2022,2.84,140,Tran Thi B
20251098,Duong Tuan Cuong,HTTT01-K68,06/02/2007,Thai Binh,Nu,Diem thi THPT,27.9,20251098@sis.hust.edu.vn,0957377028,So 38 Pho Chua Boc - Thai Binh,An toan thong tin,Truong CNTT&TT,Bao luu,2025,3.59,129,Hoang Duc E
20251099,Bui Thi Khoa,ATTT03-K68,27/05/2007,Ha Noi,Nu,Hoc ba,20.9,20251099@sis.hust.edu.vn,0949722846,So 124 Pho Chua Boc - Ha Noi,Khoa hoc may tinh,Truong CNTT&TT,Bao luu,2025,3.02,40,Le Van C
20251100,Ngo Anh Khoa,CNPM01-K68,18/12/2007,Ha Tinh,Nam,Tuyen thang,26.8,20251100@sis.hust.edu.vn,0952789597,So 7 Pho Chua Boc - Ha Tinh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2025,3.17,136,Hoang Duc E
20251101,Bui Quang Binh,CTTT02-K68,20/12/2005,TP HCM,Nam,Hoc ba,27.6,20251101@sis.hust.edu.vn,0955147544,So 69 Pho Chua Boc - TP HCM,An toan thong tin,Truong CNTT&TT,Dang hoc,2023,1.49,13,Tran Thi B
20251102,Hoang Duc Huy,DTVT01-K68,28/02/2005,Quang Ninh,Nu,Hoc ba,26,20251102@sis.hust.edu.vn,0968311629,So 138 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Bao luu,2023,1.8,65,Pham Minh D
20251103,Phan Hai Yen,CTTT02-K68,24/09/2007,Quang Ninh,Nu,Tuyen thang,29.1,20251103@sis.hust.edu.vn,0971224722,So 63 Pho Chua Boc - Quang Ninh,He thong thong tin,Truong CNTT&TT,Dang hoc,2025,2.55,83,Pham Minh D
20251104,Nguyen Duc Dong,CNPM02-K67,01/02/2005,Da Nang,Nam,Tuyen thang,28.3,20251104@sis.hust.edu.vn,0931659879,So 115 Pho Chua Boc - Da Nang,Dien tu vien thong,Khoa Vien thong,Dang hoc,2023,3.7,23,Tran Thi B
20251105,Duong Anh Giang,DTVT01-K68,09/02/2005,Thanh Hoa,Nam,Hoc ba,20.9,20251105@sis.hust.edu.vn,0956353855,So 71 Pho Chua Boc - Thanh Hoa,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,2.1,58,Nguyen Van A
20251106,Dang Quang Phuc,CNPM01-K68,03/02/2005,Nghe An,Nam,Diem thi THPT,20.9,20251106@sis.hust.edu.vn,0971110162,So 69 Pho Chua Boc - Nghe An,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,2.59,68,Le Van C
20251107,Duong Quoc Khoa,HTTT01-K68,25/11/2007,Quang Nam,Nam,Danh gia nang luc,26.5,20251107@sis.hust.edu.vn,0972886359,So 57 Pho Chua Boc - Quang Nam,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,3.67,48,Tran Thi B
20251108,Phan Duy Quan,DTVT01-K68,17/12/2005,Quang Nam,Nu,Danh gia nang luc,21.9,20251108@sis.hust.edu.vn,0953573984,So 134 Pho Chua Boc - Quang Nam,Dien tu vien thong,Khoa Vien thong,Bao luu,2023,3.49,26,Nguyen Van A
20251109,Nguyen Thi Giang,CNPM01-K68,08/02/2006,Nam Dinh,Nu,Danh gia nang luc,23.1,20251109@sis.hust.edu.vn,0986973898,So 82 Pho Chua Boc - Nam Dinh,An toan thong tin,Truong CNTT&TT,Bao luu,2024,2.7,20,Le Van C
20251110,Tran Huu Tuan,HTTT01-K68,06/02/2007,Nghe An,Nu,Danh gia nang luc,24.7,20251110@sis.hust.edu.vn,0924300999,So 37 Pho Chua Boc - Nghe An,An toan thong tin,Truong CNTT&TT,Canh cao,2025,2.26,55,Le Van C
20251111,Ho Thanh Oanh,CNPM02-K67,20/09/2004,Ha Tinh,Nu,Diem thi THPT,28,20251111@sis.hust.edu.vn,0947065358,So 50 Pho Chua Boc - Ha Tinh,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2022,2.85,89,Le Van C
20251112,Le Quang Phuong,CNPM01-K68,27/01/2004,TP HCM,Nam,Danh gia nang luc,25,20251112@sis.hust.edu.vn,0916478153,So 125 Pho Chua Boc - TP HCM,Cong nghe thong tin,Truong CNTT&TT,Bao luu,2022,2.46,129,Hoang Duc E
20251113,Ly Anh Phong,CTTT02-K68,14/12/2006,Da Nang,Nu,Danh gia nang luc,28,20251113@sis.hust.edu.vn,0961902132,So 87 Pho Chua Boc - Da Nang,Dien tu vien thong,Khoa Vien thong,Canh cao,2024,3.21,76,Pham Minh D
20251114,Tran Ngoc Binh,CNPM01-K68,18/10/2007,Nam Dinh,Nu,Hoc ba,28.6,20251114@sis.hust.edu.vn,0994169096,So 130 Pho Chua Boc - Nam Dinh,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2025,3.01,119,Nguyen Van A
20251115,Pham Van Dung,CNPM01-K68,04/11/2006,TP HCM,Nam,Danh gia nang luc,27.2,20251115@sis.hust.edu.vn,0910596376,So 45 Pho Chua Boc - TP HCM,Dien tu vien thong,Khoa Vien thong,Dang hoc,2024,3.81,50,Pham Minh D
20251116,Bui Hai Oanh,KHMT01-K67,20/04/2005,Hai Phong,Nam,Hoc ba,27.3,20251116@sis.hust.edu.vn,0938990727,So 68 Pho Chua Boc - Hai Phong,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,2.84,100,Hoang Duc E
20251117,Tran Huu Giang,DTVT01-K68,02/06/2004,Da Nang,Nu,Danh gia nang luc,25.3,20251117@sis.hust.edu.vn,0941874111,So 75 Pho Chua Boc - Da Nang,Dien tu vien thong,Khoa Vien thong,Canh cao,2022,1.05,37,Hoang Duc E
20251118,Ly Anh Oanh,ATTT03-K68,03/06/2005,Quang Ninh,Nam,Tuyen thang,21.4,20251118@sis.hust.edu.vn,0917736235,So 40 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,1.55,17,Nguyen Van A
20251119,Ngo Minh Son,KHMT02-K68,12/03/2006,Nam Dinh,Nu,Danh gia nang luc,22.5,20251119@sis.hust.edu.vn,0978590685,So 93 Pho Chua Boc - Nam Dinh,He thong thong tin,Truong CNTT&TT,Canh cao,2024,2.36,143,Nguyen Van A
20251120,Bui Thi Dong,DTVT01-K68,16/03/2005,Hue,Nu,Danh gia nang luc,25.8,20251120@sis.hust.edu.vn,0956147932,So 118 Pho Chua Boc - Hue,An toan thong tin,Truong CNTT&TT,Canh cao,2023,1.56,24,Le Van C
20251121,Phan Xuan Hanh,ATTT03-K68,04/07/2006,Quang Ninh,Nam,Danh gia nang luc,22.1,20251121@sis.hust.edu.vn,0942069407,So 59 Pho Chua Boc - Quang Ninh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2024,3.29,22,Nguyen Van A
20251122,Hoang Anh Viet,KHMT01-K67,04/08/2004,TP HCM,Nu,Hoc ba,23,20251122@sis.hust.edu.vn,0994890404,So 126 Pho Chua Boc - TP HCM,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,3.13,126,Hoang Duc E
20251123,Hoang Hai Huy,CNPM02-K67,18/06/2004,Nghe An,Nam,Danh gia nang luc,20.2,20251123@sis.hust.edu.vn,0910021704,So 45 Pho Chua Boc - Nghe An,An toan thong tin,Truong CNTT&TT,Canh cao,2022,2.88,115,Tran Thi B
20251124,Bui Duc Cuong,HTTT01-K68,21/02/2004,Thanh Hoa,Nu,Tuyen thang,22.5,20251124@sis.hust.edu.vn,0992161766,So 53 Pho Chua Boc - Thanh Hoa,Dien tu vien thong,Khoa Vien thong,Canh cao,2022,3.7,9,Tran Thi B
20251125,Pham Van Dong,ATTT03-K68,11/08/2004,Da Nang,Nu,Diem thi THPT,25.9,20251125@sis.hust.edu.vn,0999567957,So 75 Pho Chua Boc - Da Nang,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,2.07,131,Nguyen Van A
20251126,Ho Quang Yen,DTVT01-K68,06/08/2004,Nam Dinh,Nam,Danh gia nang luc,24.7,20251126@sis.hust.edu.vn,0914578108,So 87 Pho Chua Boc - Nam Dinh,He thong thong tin,Truong CNTT&TT,Canh cao,2022,1.09,5,Nguyen Van A
20251127,Bui Duy Vy,DTVT01-K68,10/09/2007,Quang Ninh,Nu,Hoc ba,27.2,20251127@sis.hust.edu.vn,0976430936,So 110 Pho Chua Boc - Quang Ninh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,2.77,11,Tran Thi B
20251128,Ly Duc Huy,KHMT02-K68,20/02/2005,Ha Tinh,Nu,Tuyen thang,26.5,20251128@sis.hust.edu.vn,0916543485,So 71 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Dang hoc,2023,1.47,115,Pham Minh D
20251129,Vu Anh Vy,HTTT01-K68,08/01/2005,Quang Nam,Nam,Hoc ba,28.4,20251129@sis.hust.edu.vn,0976282306,So 11 Pho Chua Boc - Quang Nam,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,2.13,88,Le Van C
20251130,Le Minh Dong,CTTT02-K68,15/11/2006,Hai Phong,Nu,Hoc ba,22.2,20251130@sis.hust.edu.vn,0913641838,So 23 Pho Chua Boc - Hai Phong,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2024,2.88,39,Nguyen Van A
20251131,Ly Quang Son,CNPM02-K67,22/09/2007,Quang Nam,Nam,Hoc ba,24.8,20251131@sis.hust.edu.vn,0976647682,So 20 Pho Chua Boc - Quang Nam,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,3.51,106,Tran Thi B
20251132,Tran Quoc Anh,HTTT01-K68,23/02/2006,Can Tho,Nu,Danh gia nang luc,20.2,20251132@sis.hust.edu.vn,0949556027,So 131 Pho Chua Boc - Can Tho,An toan thong tin,Truong CNTT&TT,Bao luu,2024,2.01,88,Hoang Duc E
20251133,Phan Thi Hanh,CTTT02-K68,15/01/2006,Hai Phong,Nu,Diem thi THPT,28,20251133@sis.hust.edu.vn,0986502411,So 66 Pho Chua Boc - Hai Phong,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2024,2.2,11,Le Van C
20251134,Bui Thanh Phong,HTTT01-K68,17/06/2005,Quang Ninh,Nam,Danh gia nang luc,20.5,20251134@sis.hust.edu.vn,0971819921,So 136 Pho Chua Boc - Quang Ninh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2023,3.92,19,Hoang Duc E
20251135,Bui Tuan Hai,CTTT02-K68,05/04/2004,Nam Dinh,Nu,Tuyen thang,22.2,20251135@sis.hust.edu.vn,0990556492,So 141 Pho Chua Boc - Nam Dinh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2022,1.16,40,Hoang Duc E
20251136,Le Van Yen,KHMT02-K68,23/12/2007,Ha Noi,Nam,Danh gia nang luc,20.6,20251136@sis.hust.edu.vn,0953063855,So 97 Pho Chua Boc - Ha Noi,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,2.74,129,Tran Thi B
20251137,Ho Xuan Vy,HTTT01-K68,21/10/2007,Can Tho,Nam,Diem thi THPT,29.7,20251137@sis.hust.edu.vn,0978365222,So 10 Pho Chua Boc - Can Tho,He thong thong tin,Truong CNTT&TT,Dang hoc,2025,2.92,70,Pham Minh D
20251138,Do Ngoc Khoa,DTVT01-K68,10/11/2006,Da Nang,Nu,Diem thi THPT,22.2,20251138@sis.hust.edu.vn,0999516502,So 119 Pho Chua Boc - Da Nang,Ky thuat may tinh,Khoa Dien tu,Canh cao,2024,2.76,124,Nguyen Van A
20251139,Dang Van Hanh,CNPM01-K68,05/12/2006,Ha Noi,Nu,Hoc ba,27.3,20251139@sis.hust.edu.vn,0963510691,So 67 Pho Chua Boc - Ha Noi,Ky thuat may tinh,Khoa Dien tu,Bao luu,2024,3.98,33,Pham Minh D
20251140,Nguyen Quang Cuong,KHMT01-K67,02/02/2004,Da Nang,Nam,Hoc ba,22.9,20251140@sis.hust.edu.vn,0997901219,So 87 Pho Chua Boc - Da Nang,An toan thong tin,Truong CNTT&TT,Dang hoc,2022,3,139,Nguyen Van A
20251141,Dang Huu Oanh,CTTT02-K68,20/03/2006,Thai Nguyen,Nu,Diem thi THPT,25.9,20251141@sis.hust.edu.vn,0951899721,So 45 Pho Chua Boc - Thai Nguyen,Ky thuat may tinh,Khoa Dien tu,Canh cao,2024,1.26,43,Pham Minh D
20251142,Dang Tuan Tuan,DTVT01-K68,06/06/2005,Thanh Hoa,Nu,Hoc ba,24.9,20251142@sis.hust.edu.vn,0954725064,So 44 Pho Chua Boc - Thanh Hoa,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,3.55,143,Pham Minh D
20251143,Do Huu Long,KHMT01-K67,13/08/2005,Nghe An,Nu,Hoc ba,27.9,20251143@sis.hust.edu.vn,0919812765,So 65 Pho Chua Boc - Nghe An,Cong nghe thong tin,Truong CNTT&TT,Bao luu,2023,2.27,99,Nguyen Van A
20251144,Bui Huu Nam,KHMT02-K68,25/11/2005,Hue,Nam,Danh gia nang luc,24.9,20251144@sis.hust.edu.vn,0919290718,So 58 Pho Chua Boc - Hue,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,3.05,112,Pham Minh D
20251145,Ngo Xuan Long,DTVT01-K68,23/02/2005,TP HCM,Nam,Danh gia nang luc,29.8,20251145@sis.hust.edu.vn,0946737796,So 116 Pho Chua Boc - TP HCM,An toan thong tin,Truong CNTT&TT,Dang hoc,2023,1.82,120,Le Van C
20251146,Hoang Quoc Linh,HTTT01-K68,08/11/2006,Bac Ninh,Nu,Tuyen thang,27.4,20251146@sis.hust.edu.vn,0954472177,So 34 Pho Chua Boc - Bac Ninh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2024,3.85,108,Nguyen Van A
20251147,Le Minh Tuan,CNPM01-K68,13/01/2007,Quang Nam,Nu,Tuyen thang,22.6,20251147@sis.hust.edu.vn,0935796833,So 106 Pho Chua Boc - Quang Nam,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,2.17,41,Hoang Duc E
20251148,Phan Tuan Binh,KHMT02-K68,10/02/2006,Ha Noi,Nu,Hoc ba,26.2,20251148@sis.hust.edu.vn,0954199755,So 31 Pho Chua Boc - Ha Noi,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,2.36,17,Nguyen Van A
20251149,Ly Duy Trang,KHMT02-K68,20/08/2007,Ha Tinh,Nam,Danh gia nang luc,28.8,20251149@sis.hust.edu.vn,0920115433,So 143 Pho Chua Boc - Ha Tinh,Ky thuat may tinh,Khoa Dien tu,Bao luu,2025,2.69,73,Tran Thi B
20251150,Tran Thanh Giang,KHMT01-K67,18/05/2005,Can Tho,Nu,Hoc ba,20.6,20251150@sis.hust.edu.vn,0920408689,So 67 Pho Chua Boc - Can Tho,He thong thong tin,Truong CNTT&TT,Dang hoc,2023,3.88,31,Le Van C
20251151,Nguyen Ngoc Viet,KHMT02-K68,09/12/2004,Thai Binh,Nam,Tuyen thang,20.8,20251151@sis.hust.edu.vn,0966126465,So 23 Pho Chua Boc - Thai Binh,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,2.15,66,Nguyen Van A
20251152,Nguyen Duy Cuong,KHMT01-K67,22/12/2004,Thanh Hoa,Nu,Danh gia nang luc,28.1,20251152@sis.hust.edu.vn,0942265048,So 96 Pho Chua Boc - Thanh Hoa,Ky thuat may tinh,Khoa Dien tu,Bao luu,2022,2.26,143,Pham Minh D
20251153,Bui Tuan Vy,CTTT02-K68,09/12/2007,Nghe An,Nu,Danh gia nang luc,27.2,20251153@sis.hust.edu.vn,0928060323,So 84 Pho Chua Boc - Nghe An,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,2.19,17,Le Van C
20251154,Nguyen Ngoc Quan,ATTT03-K68,03/01/2006,Hai Phong,Nam,Hoc ba,23.4,20251154@sis.hust.edu.vn,0963302757,So 140 Pho Chua Boc - Hai Phong,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,3.33,138,Pham Minh D
20251155,Hoang Van Vy,CNPM02-K67,19/04/2004,Quang Nam,Nu,Tuyen thang,27.7,20251155@sis.hust.edu.vn,0973742785,So 139 Pho Chua Boc - Quang Nam,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2022,3.73,85,Pham Minh D
20251156,Duong Ngoc Yen,HTTT01-K68,20/12/2005,Hue,Nu,Tuyen thang,27.6,20251156@sis.hust.edu.vn,0996031771,So 33 Pho Chua Boc - Hue,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,2.35,81,Le Van C
20251157,Duong Van Cuong,KHMT02-K68,05/11/2007,Bac Ninh,Nu,Diem thi THPT,29.3,20251157@sis.hust.edu.vn,0933758675,So 101 Pho Chua Boc - Bac Ninh,He thong thong tin,Truong CNTT&TT,Dang hoc,2025,1.33,31,Pham Minh D
20251158,Le Duy Hai,KHMT01-K67,26/02/2007,TP HCM,Nu,Hoc ba,23.8,20251158@sis.hust.edu.vn,0979568512,So 23 Pho Chua Boc - TP HCM,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,1.15,112,Le Van C
20251159,Ly Quang Dong,CNPM01-K68,02/05/2005,Ha Tinh,Nu,Tuyen thang,21.8,20251159@sis.hust.edu.vn,0924695224,So 58 Pho Chua Boc - Ha Tinh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,3.21,141,Le Van C
20251160,Ly Tuan Trang,KHMT02-K68,21/03/2006,Ha Tinh,Nam,Danh gia nang luc,28.8,20251160@sis.hust.edu.vn,0995260786,So 130 Pho Chua Boc - Ha Tinh,Ky thuat may tinh,Khoa Dien tu,Canh cao,2024,1.91,89,Hoang Duc E
20251161,Ngo Quang Cuong,KHMT01-K67,18/11/2006,Thai Nguyen,Nam,Danh gia nang luc,24.9,20251161@sis.hust.edu.vn,0933470519,So 88 Pho Chua Boc - Thai Nguyen,He thong thong tin,Truong CNTT&TT,Dang hoc,2024,3.27,133,Nguyen Van A
20251162,Tran Huu Son,CNPM01-K68,15/02/2006,Thai Nguyen,Nu,Danh gia nang luc,25.3,20251162@sis.hust.edu.vn,0988932373,So 57 Pho Chua Boc - Thai Nguyen,Dien tu vien thong,Khoa Vien thong,Canh cao,2024,2.34,108,Le Van C
20251163,Dang Van Hai,KHMT02-K68,17/08/2006,Da Nang,Nam,Tuyen thang,23,20251163@sis.hust.edu.vn,0985983437,So 74 Pho Chua Boc - Da Nang,Dien tu vien thong,Khoa Vien thong,Bao luu,2024,3.05,51,Tran Thi B
20251164,Le Ngoc Giang,ATTT03-K68,14/07/2005,Nghe An,Nam,Danh gia nang luc,24.5,20251164@sis.hust.edu.vn,0969000179,So 3 Pho Chua Boc - Nghe An,He thong thong tin,Truong CNTT&TT,Canh cao,2023,3.89,111,Pham Minh D
20251165,Duong Van Hung,HTTT01-K68,14/02/2004,Quang Nam,Nam,Danh gia nang luc,20.1,20251165@sis.hust.edu.vn,0982414925,So 113 Pho Chua Boc - Quang Nam,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2022,2.94,101,Hoang Duc E
20251166,Duong Anh Dong,ATTT03-K68,04/05/2004,Thai Binh,Nam,Danh gia nang luc,27.3,20251166@sis.hust.edu.vn,0944221794,So 24 Pho Chua Boc - Thai Binh,Dien tu vien thong,Khoa Vien thong,Canh cao,2022,2.22,125,Tran Thi B
